taxon_id,scientific_name,observation_count
77990,Mentha aquatica,341
117512,Clematis occidentalis,340
136234,Cedrus atlantica,340
61032,Hypericum anagalloides,339
125464,Hypnum circinale,339
77569,Juncus ensifolius,338
78668,Polemonium pulcherrimum,338
117807,Mastocarpus papillatus,338
60176,Atriplex prostrata,337
77802,Lomatium canbyi,337
78882,Rosa multiflora,334
54764,Rhus glabra,333
128205,Penstemon pruinosus,333
143679,Antennaria lanata,333
76070,Carex leptopoda,332
135790,Pinus nigra,332
159806,Canadanthus modestus,332
57563,Cynara cardunculus,331
75262,Achlys californica,330
54797,Gleditsia triacanthos,328
76301,Chorispora tenella,328
76936,Erigeron pumilus,328
59008,Salix exigua,327
160006,Carex macrocephala,327
51712,Bidens frondosa,326
77611,Kopsiopsis hookeri,326
49662,Platanus occidentalis,325
159765,Campanula piperi,325
160369,Chaenomeles speciosa,325
60350,Artemisia absinthium,324
62308,Mentzelia laevicaulis,324
67808,Solidago canadensis,324
75440,Anemone drummondii,324
79463,Ulmus pumila,324
148098,Lonicera utahensis,324
60264,Triglochin maritima,322
163184,Galium palustre,321
167160,Polemonium elegans,321
53307,Cerastium fontanum,320
83156,Hydrangea quercifolia,320
69150,Metasequoia glyptostroboides,319
123832,Polypodium amorphum,317
128867,Elmera racemosa,317
950312,Eriocapitella hupehensis,316
79141,Solanum nigrum,315
123754,Rhytidiadelphus squarrosus,315
164714,Lomatium ambiguum,315
48599,Phytolacca americana,313
208830,Rhododendron indicum,313
52808,Poa annua,312
54777,Cornus florida,312
61824,Trifolium hybridum,312
85321,Campanula rapunculoides,312
51741,Aegopodium podagraria,311
57081,Trifolium willdenovii,311
77991,Mentha canadensis,311
123117,Ceratodon purpureus,311
840641,Platanthera elegans,311
59205,Schoenoplectus acutus,310
78870,Ribes viscosissimum,310
76329,Chrysothamnus viscidiflorus,309
77114,Euphorbia lathyris,309
50798,Wyethia amplexicaulis,308
76984,Eriogonum douglasii,305
78450,Persicaria amphibia,305
75572,Arnica lanceolata,304
56132,Hyacinthoides non-scripta,303
60483,Orthocarpus imbricatus,302
63951,Pyrus communis,301
64268,Trifolium incarnatum,299
78346,Papaver somniferum,299
54762,Acer saccharinum,298
58128,Grayia spinosa,298
51737,Solanum lycopersicum,297
840638,Platanthera unalascensis,297
1319212,Cotoneaster franchetii,297
56117,Grimmia pulvinata,296
56461,Pellia neesiana,296
135727,Pinus mugo,296
54436,Rubus idaeus,295
75938,Callitriche stagnalis,295
126663,Oenothera pallida,294
157924,Achillea filipendulina,294
48070,Sagittaria latifolia,293
58372,Distichlis spicata,293
52976,Barbarea orthoceras,292
75867,Brasenia schreberi,292
60490,Linum lewisii,291
807416,Papaver cambricum,291
62338,Lysimachia vulgaris,290
78548,Phlox hoodii,290
52740,Vaccinium corymbosum,289
79534,Woodsia scopulina,289
81762,Ribes acerifolium,288
1490928,Doellingeria engelmannii,288
62696,Silene douglasii,287
62741,Rudbeckia hirta,287
77305,Grindelia squarrosa,287
83074,Magnolia grandiflora,287
125788,Kerria japonica,287
55459,Lamium amplexicaule,286
734805,Petrosedum rupestre,286
51726,Myosotis arvensis,285
78822,Ranunculus eschscholtzii,285
82511,Euphorbia myrsinites,285
128570,Styrax japonicus,284
357682,Jacobaea maritima,284
60307,Poa pratensis,283
61112,Veronica scutellata,283
62313,Nigella damascena,283
76416,Collomia linearis,281
68562,Cosmos bipinnatus,278
119805,Ligustrum vulgare,277
53097,Hirschfeldia incana,276
56593,Dichelostemma congestum,276
71118,Mazzaella splendens,276
167712,Rainiera stricta,276
55666,Veronica persica,275
60376,Moneses uniflora,275
54516,Brassica oleracea,274
78893,Rubus nivalis,274
52791,Elymus glaucus,273
61904,Lavandula stoechas,273
77160,Frasera albicaulis,273
77669,Lepidium heterophyllum,273
166114,Papaver orientale,273
51610,Veronica chamaedrys,272
56851,Asclepias fascicularis,272
69930,Juncus tenuis,272
406080,Solanum nitidibaccatum,272
53210,Senecio sylvaticus,271
54504,Juglans nigra,271
133369,Chamaecyparis obtusa,271
164708,Lolium arundinaceum,271
55848,Narcissus pseudonarcissus,270
